Stage,Round,Date,Time,Team 1,FT,Team 2,ET,P,Venue,Comments
Guard1anes 2020 Regular Season,1,Fri Jul 24 2020,19:30,Necaxa,0-3,UANL,,,Estadio Victoria de Aguascalientes,
Guard1anes 2020 Regular Season,1,Sat Jul 25 2020,19:00,Guadalajara,0-0,León,,,Estadio Akron,
Guard1anes 2020 Regular Season,1,Sat Jul 25 2020,19:00,Tijuana,3-1,Atlas,,,Estadio Caliente,
Guard1anes 2020 Regular Season,1,Sat Jul 25 2020,21:00,Cruz Azul,2-0,Santos,,,Estadio Olímpico de Universitario,
Guard1anes 2020 Regular Season,1,Sun Jul 26 2020,12:00,UNAM,3-2,Querétaro,,,Estadio Olímpico de Universitario,
Guard1anes 2020 Regular Season,1,Mon Jul 27 2020,18:00,Atlético,1-1,FC Juárez,,,Estadio Alfonso Lastras Ramírez,
Guard1anes 2020 Regular Season,1,Mon Jul 27 2020,20:00,Pachuca,1-2,América,,,Estadio Hidalgo,
Guard1anes 2020 Regular Season,1,Mon Jul 27 2020,21:00,Mazatlán,1-4,Puebla,,,Estadio de Mazatlán,
Guard1anes 2020 Regular Season,1,Tue Jul 28 2020,19:00,Monterrey,3-1,Toluca,,,Estadio BBVA Bancomer,
Guard1anes 2020 Regular Season,2,Fri Jul 31 2020,19:30,Puebla,1-1,Cruz Azul,,,Estadio Cuauhtémoc,
Guard1anes 2020 Regular Season,2,Fri Jul 31 2020,20:30,FC Juárez,1-0,Necaxa,,,Estadio Olímpico Benito Juárez,
Guard1anes 2020 Regular Season,2,Sat Aug 1 2020,19:00,UANL,1-1,Pachuca,,,Estadio Universitario de Nuevo León,
Guard1anes 2020 Regular Season,2,Sat Aug 1 2020,21:00,América,4-0,Tijuana,,,Estadio Olímpico de Universitario,
Guard1anes 2020 Regular Season,2,Sun Aug 2 2020,12:00,Toluca,3-2,Atlético,,,Estadio Nemesio Díez,
Guard1anes 2020 Regular Season,2,Sun Aug 2 2020,17:00,Querétaro,1-1,Mazatlán,,,Estadio La Corregidora,
Guard1anes 2020 Regular Season,2,Sun Aug 2 2020,19:06,Santos,2-0,Guadalajara,,,Estadio Nuevo Corona,
Guard1anes 2020 Regular Season,2,Mon Aug 3 2020,19:00,Atlas,1-2,UNAM,,,Estadio Jalisco,
Guard1anes 2020 Regular Season,2,Mon Aug 3 2020,21:00,León,1-0,Monterrey,,,Estadio León,
Guard1anes 2020 Regular Season,3,Thu Aug 6 2020,19:00,Pachuca,1-0,Querétaro,,,Estadio Hidalgo,
Guard1anes 2020 Regular Season,3,Thu Aug 6 2020,19:06,Tijuana,0-0,UANL,,,Estadio Caliente,
Guard1anes 2020 Regular Season,3,Fri Aug 7 2020,19:30,Necaxa,1-1,América,,,Estadio Victoria de Aguascalientes,
Guard1anes 2020 Regular Season,3,Fri Aug 7 2020,20:30,Mazatlán,2-1,Toluca,,,Estadio de Mazatlán,
Guard1anes 2020 Regular Season,3,Sat Aug 8 2020,19:00,Cruz Azul,2-0,León,,,Estadio Olímpico de Universitario,
Guard1anes 2020 Regular Season,3,Sat Aug 8 2020,19:06,Monterrey,2-2,Santos,,,Estadio BBVA Bancomer,
Guard1anes 2020 Regular Season,3,Sat Aug 8 2020,21:00,Guadalajara,0-1,Puebla,,,Estadio Akron,
Guard1anes 2020 Regular Season,3,Sun Aug 9 2020,12:00,UNAM,1-1,FC Juárez,,,Estadio Olímpico de Universitario,
Guard1anes 2020 Regular Season,3,Sun Aug 9 2020,19:00,Atlético,1-1,Atlas,,,Estadio Alfonso Lastras Ramírez,
Guard1anes 2020 Regular Season,4,Tue Aug 11 2020,17:00,Necaxa,1-0,Mazatlán,,,Estadio Victoria de Aguascalientes,
Guard1anes 2020 Regular Season,4,Tue Aug 11 2020,19:00,Pachuca,0-1,León,,,Estadio Hidalgo,
Guard1anes 2020 Regular Season,4,Tue Aug 11 2020,21:00,UANL,2-1,Puebla,,,Estadio Universitario de Nuevo León,
Guard1anes 2020 Regular Season,4,Wed Aug 12 2020,17:00,Querétaro,1-0,Cruz Azul,,,Estadio La Corregidora,
Guard1anes 2020 Regular Season,4,Wed Aug 12 2020,18:00,FC Juárez,0-2,Guadalajara,,,Estadio Olímpico Benito Juárez,
Guard1anes 2020 Regular Season,4,Wed Aug 12 2020,21:00,UNAM,1-1,Monterrey,,,Estadio Olímpico de Universitario,
Guard1anes 2020 Regular Season,4,Wed Aug 12 2020,19:06,Tijuana,0-2,Atlético,,,Estadio Caliente,
Guard1anes 2020 Regular Season,4,Thu Aug 13 2020,19:00,Atlas,1-2,Toluca,,,Estadio Jalisco,
Guard1anes 2020 Regular Season,4,Thu Aug 13 2020,21:00,América,3-1,Santos,,,Estadio Olímpico de Universitario,
Guard1anes 2020 Regular Season,5,Fri Aug 14 2020,21:30,Puebla,0-1,Pachuca,,,Estadio Cuauhtémoc,
Guard1anes 2020 Regular Season,5,Sat Aug 15 2020,17:00,Guadalajara,2-1,Atlético,,,Estadio Akron,
Guard1anes 2020 Regular Season,5,Sat Aug 15 2020,19:00,Cruz Azul,3-2,FC Juárez,,,Estadio Azteca,
